customer_id,first_name,last_name,age,masked_email,country,city,postal_code,masked_phone,registration_date,last_login_date
1,James,Moran,37,j***@example.net,French Southern Territories,Stewartland,01721,*********69,2025-05-01 00:00:00,2025-06-07 00:00:00
2,Joseph,Mahoney,39,s***@example.org,Kazakhstan,Cherylhaven,01526,*********18,2022-09-24 00:00:00,2023-04-28 00:00:00
3,William,King,28,d***@example.com,Aruba,West Kellieview,21679,*********12,2024-07-28 00:00:00,2025-05-16 00:00:00
4,Rachel,Flynn,31,n***@example.org,Papua New Guinea,West Kimberlychester,81852,*********25,2022-11-22 00:00:00,2023-09-13 00:00:00
5,Jeffrey,Graham,29,p***@example.com,Saint Kitts and Nevis,Port Tanner,17229,*********05,2025-03-22 00:00:00,2025-05-22 00:00:00
6,Mark,Juarez,52,a***@example.com,Syrian Arab Republic,South Andrewside,07327,*********20,2025-06-13 00:00:00,2025-06-24 00:00:00
7,Holly,Wang,25,c***@example.net,Brazil,West Daniel,03866,*********92,2025-07-04 00:00:00,2025-07-04 00:00:00
8,Casey,Holland,59,a***@example.org,Jersey,Cynthiamouth,93209,*********91,2025-04-18 00:00:00,2025-06-01 00:00:00
9,Ashley,Barnett,29,a***@example.com,Croatia,Laurenmouth,37156,*********45,2022-12-19 00:00:00,2023-05-31 00:00:00
10,Jonathon,Wright,32,k***@example.net,Dominican Republic,Scottport,31236,*********36,2024-09-28 00:00:00,2025-02-08 00:00:00
11,Joshua,Lawrence,79,t***@example.org,Guyana,West Alexis,70511,*********35,2023-10-14 00:00:00,2025-01-25 00:00:00
12,Samantha,Hooper,50,m***@example.net,Anguilla,Lake Roymouth,24320,*********56,2024-09-06 00:00:00,2025-05-18 00:00:00
13,Howard,Richards,77,e***@example.com,Ireland,Manuelville,21580,*********02,2022-10-13 00:00:00,2025-05-28 00:00:00
14,Jennifer,Strickland,29,t***@example.org,Vanuatu,Barbarafurt,52491,*********91,2024-04-30 00:00:00,2025-06-20 00:00:00
15,Ashley,Hall,43,v***@example.com,Romania,Hughesberg,65424,*********75,2023-12-23 00:00:00,2024-03-15 00:00:00
16,Cheryl,Gray,27,s***@example.com,Croatia,Laurenmouth,37156,*********36,2023-03-30 00:00:00,2024-04-18 00:00:00
17,Michael,Jordan,40,a***@example.org,Chile,North Chelsea,50641,*********72,2022-08-13 00:00:00,2022-10-24 00:00:00
18,Charles,Landry,78,d***@example.com,Tanzania,Jamesfurt,63836,*********74,2024-05-14 00:00:00,2024-08-22 00:00:00
19,Catherine,Gomez,69,c***@example.net,Seychelles,Lake Colton,82743,*********90,2022-10-29 00:00:00,2023-11-06 00:00:00
20,Maria,Scott,43,s***@example.net,Trinidad and Tobago,Lindamouth,10370,*********62,2024-06-12 00:00:00,2024-10-09 00:00:00
21,Daniel,Hall,51,h***@example.com,United States Virgin Islands,Lake Bryan,61353,*********48,2022-12-06 00:00:00,2025-06-03 00:00:00
22,Brenda,Barber,46,f***@example.net,Ireland,Antoniostad,28978,*********13,2025-03-27 00:00:00,2025-04-26 00:00:00
23,Brent,Cook,78,k***@example.net,Cote d'Ivoire,Port Molly,43565,*********31,2023-11-02 00:00:00,2025-06-04 00:00:00
24,Brianna,Smith,68,b***@example.org,Samoa,South Shanestad,67772,*********21,2024-10-30 00:00:00,2025-05-13 00:00:00
25,Robert,Wilcox,41,g***@example.com,Japan,Elizabethstad,20507,*********61,2024-05-28 00:00:00,2025-01-03 00:00:00
26,Eric,Webster,44,c***@example.net,Jamaica,Lawsonchester,36305,*********75,2023-09-17 00:00:00,2023-12-19 00:00:00
27,James,Dougherty,33,k***@example.org,Albania,Burgessburgh,17433,*********03,2023-02-26 00:00:00,2024-05-11 00:00:00
28,Keith,Sullivan,79,g***@example.net,Uruguay,Christopherville,32392,*********71,2023-08-25 00:00:00,2024-12-15 00:00:00
29,Laura,Vargas,61,w***@example.com,Argentina,West Marieland,84998,*********52,2023-01-15 00:00:00,2024-12-12 00:00:00
30,Michael,Phillips,26,a***@example.org,Mongolia,New Julieport,30663,*********10,2022-10-30 00:00:00,2023-11-07 00:00:00
31,Johnathan,York,19,m***@example.org,United States Virgin Islands,Kylefurt,17402,*********15,2024-01-28 00:00:00,2024-04-20 00:00:00
32,Matthew,Miranda,37,j***@example.org,French Polynesia,New Kellihaven,05448,*********85,2024-04-17 00:00:00,2025-06-07 00:00:00
33,Derek,Chavez,60,u***@example.org,Turks and Caicos Islands,Penafort,81195,*********35,2022-10-20 00:00:00,2025-03-16 00:00:00
34,Morgan,Spencer,35,d***@example.org,Finland,Port Ethanmouth,67787,*********39,2024-07-17 00:00:00,2025-02-03 00:00:00
35,David,King,65,d***@example.org,American Samoa,Kristybury,77683,*********81,2025-01-31 00:00:00,2025-02-22 00:00:00
36,Elizabeth,Miller,50,c***@example.net,Solomon Islands,South Morganton,83819,*********09,2024-02-12 00:00:00,2024-12-29 00:00:00
37,Maria,Cohen,53,z***@example.org,Bahrain,Johnsonborough,06242,*********31,2023-09-02 00:00:00,2024-05-09 00:00:00
38,Samuel,Ross,44,y***@example.com,Colombia,Holtstad,68563,*********34,2024-11-18 00:00:00,2025-06-08 00:00:00
39,Hannah,Bell,75,a***@example.net,Jordan,Danielleton,10336,*********11,2023-04-23 00:00:00,2023-06-28 00:00:00
40,Erika,Rush,20,s***@example.org,Marshall Islands,Raymondview,33218,*********13,2024-07-09 00:00:00,2024-12-02 00:00:00
41,Joel,Snyder,28,a***@example.net,Bulgaria,North Kylefort,69404,*********31,2023-07-20 00:00:00,2023-09-04 00:00:00
42,Katrina,Anderson,31,g***@example.com,Chad,West Sarah,30053,*********77,2023-09-28 00:00:00,2024-06-18 00:00:00
43,Donna,Le,64,m***@example.org,Belgium,Lake Kelliview,85845,*********98,2023-07-19 00:00:00,2025-05-23 00:00:00
44,Jessica,Fuentes,47,j***@example.org,China,Port Katherine,10377,**********95,2025-03-24 00:00:00,2025-04-29 00:00:00
45,Justin,Smith,52,j***@example.net,Haiti,Diazfurt,07206,*********95,2023-11-28 00:00:00,2025-04-25 00:00:00
46,Shannon,Shepherd,54,t***@example.net,China,East Jasminemouth,69191,**********65,2024-01-06 00:00:00,2025-06-12 00:00:00
47,William,Hicks,28,t***@example.com,Suriname,West Markville,55097,*********95,2022-12-02 00:00:00,2023-10-13 00:00:00
48,Lorraine,Allen,46,l***@example.com,Canada,Vaughnchester,66275,*********99,2024-04-04 00:00:00,2025-04-03 00:00:00
49,Erica,Dillon,79,c***@example.com,Moldova,Jeffreyport,38381,*********85,2024-10-31 00:00:00,2025-06-15 00:00:00
50,Bobby,Moses,61,r***@example.com,San Marino,Lewisside,36038,*********98,2024-08-15 00:00:00,2025-03-26 00:00:00
51,Jennifer,Rogers,67,d***@example.com,Qatar,Port Janice,59300,*********89,2023-06-20 00:00:00,2023-09-02 00:00:00
52,Cheryl,Fowler,32,g***@example.com,Benin,Caldwellburgh,18931,*********42,2023-12-28 00:00:00,2025-05-31 00:00:00
53,Anne,Hansen,43,j***@example.org,Samoa,New Charles,56035,*********87,2024-03-23 00:00:00,2024-06-01 00:00:00
54,Tina,Mendoza,41,l***@example.com,Argentina,Jamesborough,05993,**********03,2025-01-01 00:00:00,2025-05-08 00:00:00
55,Lisa,Dennis,55,b***@example.com,Turkey,Lake Adriana,54707,*********73,2022-08-10 00:00:00,2024-05-04 00:00:00
56,Ricky,Evans,26,k***@example.org,French Southern Territories,Port Steven,08053,*********05,2023-05-30 00:00:00,2023-07-15 00:00:00
57,Christopher,Hardy,47,b***@example.net,Netherlands,Port Charlesshire,95437,*********51,2024-03-12 00:00:00,2025-06-19 00:00:00
58,Shannon,Roach,31,z***@example.net,"Tanzania, United Republic of",Elizabethland,72590,*********31,2022-11-17 00:00:00,2025-02-14 00:00:00
59,Wayne,Wolfe,78,l***@example.org,Uruguay,New Eduardoborough,81736,*********86,2023-08-18 00:00:00,2024-10-15 00:00:00
